Experiment	dd0-dd1 Aggregate Size Gradient	dd1-dd2 Aggregate Size Gradient	dd2-dd3 Aggregate Size Gradient	dd3-dd5 Aggregate Size Gradient	dd5-dd7 Aggregate Size Gradient
33	0.3565217391304348	0.05730600795755764	-0.02386233889948617	0.16708421213543057	0.11002693891795493
34	0.1805266348612247	0.31725759876157295	0.022707241005243208	0.006806216196805715	0.10998502000076826
35	0.18268282887290516	0.2951840703866637	-0.02495575537639224	0.1192270318831015	0.0024025598182790993
36	0.29515418502202645	-0.04013605442176875	0.06165839829907879	-0.09345794392523364	0.46686303387334294
37	0.2486486486486486	0.0743145743145744	0.04633982538616525	0.22336328626444146	0.10965372507869887
38	0.28142910062573456	0.2293932322476497	-0.012663874392401773	-0.013554112683764745	0.14265956408886682
39	0.31349926096744796	0.14738570587973024	-0.037221528299391786	0.11976623061442962	0.470021096961138
40	0.26295902152204265	0.05859759868386192	0.004616787748991222	-0.040656528431782336	0.1474240064089736
41	0.09060293866741216	0.3238906116829832	-0.03518017741836632	-0.04249184873787326	0.25135944478423283
42	0.20191114175320313	0.09315046520137799	0.08664626557071207	0.046590443731342183	0.3201694221257573
43	0.47834356422315116	0.19272955154779248	0.3843885939105797	-0.12982107522209313	-0.24245505557851146
44	0.5655327215281463	0.004030077932926838	0.12685967539655327	0.18125778238471543	-0.017170859383363952
45	0.21531524033877245	0.0861546883771604	0.03679524836918699	0.058739291226845354	0.208457511231888
46	0.17222491596698405	0.17051709937680212	0.02370230405811355	-0.05607383185987694	0.020551178993620696
47	0.1716991751740899	0.1497059226189046	0.21426735487829585	-0.13939840794349412	-0.24213142326351603
48	0.15039651504516405	0.22124759680586797	0.05995944055428925	0.05085064573471502	-0.027536106855864183
49	0.2040723722021651	0.09039849938516366	0.1104408428034832	-0.002534704631731319	0.38878804442435033
50	0.2179948846507827	0.08908385775781186	0.05302797464448736	0.2328676047463282	0.18119267760327828
51	0.48906775826968785	-0.2099281416463566	0.6659201662187143	0.2048237860418907	-0.3519981566748593
52	0.27734192343589426	0.20222923531722056	-0.07705631251829731	0.22989542101213473	0.006912565434615703
53	-0.0213662253976091	0.0	0.4640422556403275	0.21222534084898353	-0.03176415363734568
54	0.28847752149164696	0.0	0.1789830936696326	0.012508742816080798	0.239431208534847
55	0.12731726712842006	0.0	0.4209822393737283	0.6608803318684309	-0.1368435919601291
56	0.19256562884710285	0.33795994467898993	-0.06818994172706885	0.05662459054320497	0.2873881503670437
57	0.30122561142017523	0.12293453086739664	-0.05199136534457829	0.3257680189569667	0.150307891632907
58	0.22959420939204467	0.2943237952399209	-0.06172170449957974	0.17568059533753577	-0.07732153169308599
59	0.39667943446805853	0.14206393605341444	-0.05880815283059623	0.3099054630644455	0.03685209702118627
