Experiment	d0 Average pH	d1 Average pH	dd0 Average pH	dd1 Average pH	dd2 Average pH	dd3 Average pH	dd4 Average pH	dd5 Average pH	dd6 Average pH	dd7 Average pH
14	7.011533519553073	6.74918611111111	6.884802777777777	6.910025000000001	6.616598885793872	6.861672222222223	6.687155988857938	6.908152777777778	6.809908077994428	7.036788888888889
15	6.957142857142858	7.863783783783783	7.725285714285713	6.93015625	6.086666666666668	7.112074074074074	7.243785714285715	8.247941176470588	7.118535714285715	7.05068
16	7.168529411764706	7.043970588235292	6.848333333333333	7.170032258064515	7.30555172413793	7.302961538461537	7.157555555555557	7.374548387096774	7.246115384615385	7.140692307692309
17	6.861054054054054	7.052771428571428	6.754925925925925	7.104897435897435	6.9598	7.294269230769231	7.136214285714287	7.03115625	7.215692307692308	7.106807692307693
18	7.019027777777777	7.062885714285714	6.7728	6.782361111111111	7.057799999999999	7.234884615384615	7.066148148148148	6.937064516129033	7.135962962962964	7.026653846153847
19	7.147822222222223	6.803916897506925	7.10767867036011	7.122744444444445	6.605975138121546	6.938963888888889	6.838134078212291	7.10849860724234	6.944388888888889	7.126554317548748
20	7.106336111111111	6.901819444444444	7.034314763231199	6.873633053221288	6.629608333333333	7.028253521126761	6.820483240223465	6.882358333333334	6.726919444444444	6.9881108033241
21	7.088491666666666	6.888705555555556	6.923255555555555	6.870619047619048	6.660002777777778	7.107340720221607	6.923455555555555	6.986719444444445	6.806044444444446	7.083330555555555
22	7.076537396121883	6.877629526462395	7.008624309392266	6.866441988950276	6.734584958217271	6.992326815642459	6.849237569060773	6.962063888888888	6.843341666666666	7.134963988919668
23	7.164214484679666	6.749702777777778	6.86836111111111	6.902780555555556	6.732679665738162	7.18023463687151	7.069725761772853	7.262387186629526	7.182780555555556	7.139505555555558
24	7.069016666666665	6.817202777777778	6.96772191011236	6.875625000000001	6.770380555555556	7.074851123595505	6.873002762430939	6.986111111111111	6.800702777777777	6.832947222222222
25	7.249019444444444	6.923588888888889	7.112120786516853	6.958860724233983	6.79026330532213	7.159199999999999	6.867848739495798	7.068866666666668	6.92166016713092	7.174483333333333
26	7.167330555555554	6.837351800554017	7.198851540616246	7.121966573816156	6.836477653631285	7.119952646239555	6.927044692737431	7.264025	7.210530726256983	7.307348189415042
27	7.046952777777778	6.80475208913649	7.024628169014085	6.886407303370786	6.6502	6.946164804469273	6.73310924369748	7.000847222222223	6.872551820728292	7.027685236768803
28	7.140623626373626	6.993194444444445	6.765022284122563	7.057452777777778	6.913556786703601	6.952480555555556	6.741802228412258	6.975044444444444	6.761102777777777	6.862405555555555
29	6.974305322128851	6.872530555555556	6.794235294117648	6.914247222222222	6.874336134453783	6.863947222222222	6.805769444444445	7.019211699164345	6.917052777777777	6.997797222222222
30	6.969392757660168	6.852458333333334	6.812125348189415	6.869899999999999	6.837175487465182	6.792822222222223	6.806330532212885	6.951231197771588	6.958480555555555	7.107819444444443
