Experiment	Average DO concentration d0	Average DO concentration d1	Average DO concentration dd0	Average DO concentration dd1	Average DO concentration dd2	Average DO concentration dd3	Average DO concentration dd4	Average DO concentration dd5	Average DO concentration dd6	Average DO concentration dd7
39	107.8740303030303	92.88625	87.27966666666667	84.7792857142857	76.84696551724137	67.558	61.95026865671641	39.96397590361445	66.8252830188679	25.44060317460318
40	100.4949761904762	89.84527272727273	81.15721333333333	78.57898095238095	66.3694888888889	53.96719393939395	49.89830434782609	67.170572	50.79317328519856	30.83327719298246
41	107.513975	94.21149019607844	85.28714666666669	84.3306	76.67591851851854	67.07321818181819	65.98842458100559	68.71561983471075	54.5846094890511	30.57325773195876
42	85.71523287671234	63.24320588235295	66.71009523809524	51.63123699421965	28.00881818181819	60.06711695906433	20.39292105263158	13.62351111111111	8.5168	11.41755
43	89.14285714285714	80.3477857142857	78.97483941605839	71.20963963963963	62.23131325301205	74.99361788617887	73.62188888888889	60.80692105263157	80.19058208955224	68.84264423076924
44	97.7672875	74.12618840579711	80.23900704225353	70.49652906976745	42.25569230769231	73.66026923076922	28.6596037735849	22.21535	21.87621951219512	25.74475
45	81.65019672131147	62.34353994490358	63.39714427860697	47.07061835748792	49.51319302949062	56.20892250000001	49.62889189189189	48.35557544757033	28.58268421052632	30.45991366906475
46	102.6132363636364	76.28040379403794	91.81144471744472	79.83587710843373	78.34089736842104	99.81676616915422	113.9059725274725	110.939648241206	105.7760972568579	107.7938
47	80.2313125	56.14698614958449	72.14956281407035	57.22333670886075	37.13813333333333	69.5310604534005	67.56144444444445	68.10465289256199	66.85443611111111	68.95491160220995
48	85.565556122449	69.62471467391303	75.49639709443099	53.43622836538461	39.02417079889807	61.07860810810811	69.6056976127321	80.89201650943396	67.86441782729806	92.4416943127962
49	82.794921875	57.79683055555554	64.0755776081425	38.28305679012345	33.00028611111112	49.88185085574572	24.1826546961326	15.48054200542005	13.47286388888889	19.49552519893899
50	71.92948169838947	44.33612057522124	40.19673486238533	25.86232128829537	18.8441001540832	39.60641096919609	25.62216406829993	15.21722697606961	23.74196131386861	27.74515164835165
51	72.1864475	42.59703021978022	54.71535023041474	59.25531367924528	53.53850969529086	72.2776408977556	68.81413715710724	55.45839554317548	52.14263144963145	39.52425067385445
52	68.6417400990099	43.78318232044199	48.91024303797469	31.98978947368421	24.01205	48.3152700729927	37.29209582309583	21.73466391184573	35.61177696078432	38.18145179063361
53	83.5078048192771	45.50184677419355	75.5493198294243	66.99194736842105	52.91550859950861	71.0120496031746	62.58596296296295	63.37385307017544	63.2420288248337	49.4290823244552
54	146.3459929859719	68.65865484880082	125.2027008928571	85.32290749414521	48.16576869158879	143.7667893700788	104.590850627138	87.24273522975929	55.89620022497187	27.04140662983426
55	75.08008762886598	52.05306094182825	63.61647668393782	54.1935103626943	38.90466759776537	51.87126701570681	43.18616944444444	42.90747222222222	38.32604383561644	35.03464917127071
56	90.19551378446117	74.81531172069826	68.40504796163069	48.16500485436892	49.63407417582417	50.88148578199053	33.61541208791209	41.66843678160919	16.78801101928375	32.95714186046512
57	90.6012140992167	72.10500826446281	67.25983126550868	44.80309112709833	52.53256629834253	67.62280684596577	36.50062222222222	12.58188055555556	41.17309555555556	23.08814166666667
58	99.43430083565458	99.99419444444446	99.14671229050279	96.64261281337046	98.88337673130195	98.32516388888887	99.99236666666664	99.1486095505618	99.43492479108635	99.99358379888267
59	87.42505	71.06017777777777	69.9521649484536	49.02265782493369	55.39884958217269	65.84840476190476	47.22766944444445	40.37498898071625	43.47376308539945	53.34620555555555
