Experiment	d0 Average pH Gradient	d1 Average pH Gradient	dd0 Average pH Gradient	dd1 Average pH Gradient	dd2 Average pH Gradient	dd3 Average pH Gradient	dd4 Average pH Gradient	dd5 Average pH Gradient	dd6 Average pH Gradient	dd7 Average pH Gradient
30	-0.02803658009498086	-0.01653641996397616	-0.02101095824930101	-0.01482890187240631	-0.02197279977594769	-0.011413846258038	0.0003363436885932982	-0.007811514673790795	0.006539801049360664	0.005873586432516041
31	-0.02184942179136302	-0.03702095378214093	0.004290090646183141	-0.01249585062240656	0.00460485134930534	-0.003163900414937453	-0.00654097510373457	0.01529415527728519	0.01552883036391726	-0.004207468879669187
32	-0.0219935571520775	-0.007456291668609404	-0.02392576576996554	-0.02145497918932963	0.00146456802429338	-0.01668084759196309	-0.002165802213001396	-0.01227410232040517	-0.005305049422807183	-0.009515456431535334
33	-0.008580221300138283	-0.02352041930552563	-0.01631010834486002	-0.02309683422138486	-8.408557657841708e-05	-0.01982710926694315	-0.01015767634854854	-0.01353941908713694	-0.004007674614824434	-0.0128774381903662
34	-0.0140785261040925	-0.006914246196403888	-0.03078554999479903	-0.007467648128620615	0.001290629322268407	-0.01349200753591676	-0.001473778238820136	-0.009162863070539056	-0.02523394695214769	-0.0130390733056723
35	-0.01069308475594957	-0.006416147994467478	-0.05087675660805575	-0.01889147428990678	-0.01073400062414228	-0.0307871715076068	-0.0293443753520042	-0.007124481327800268	-0.008513506855532425	-0.006873962655601698
36	-0.01558114402616767	-0.001839903181189462	-0.01637553600943157	-0.01699619640387274	-0.02081491712707345	-0.01095625864453664	0.001584197786996628	-0.002666147994467668	-0.004924987574981802	-0.00354011065006925
37	-0.01612449288595568	0.009349892529971175	-0.02591614799446811	-0.01733004840940533	-0.02284059953333962	-0.01591407330567089	-0.000651244235368732	-0.006332814661134175	-0.00237482710926623	-0.002166493775933457
38	-0.0199906658885252	-0.01775661762249806	-0.03126347359457448	-0.01683102710784415	-0.004707476343753337	0.02110237971405524	0.01483748703448478	-0.01371985583639382	0.01413644592042462	-0.005408878091756392
39	-0.03414627366359616	-0.004805724309061384	-0.1842200043376635	-0.166214524095514	-0.002368275862069942	-0.008820848155019097	-0.004997371943557352	-0.01044157567465456	-0.001021164021163968	-0.003689666888719374
40	-0.01677718189068294	-0.00179339557399731	-0.04057323307580871	-0.002002623701149447	-0.001636641309359119	-0.004133022804234753	0.002958160442600013	0.001566198069174652	0.004996023513139556	0.003372752420469821
41	-0.02456026999849759	-0.004872579529737161	-0.007289591977870255	-0.009859684000046321	-0.01036194361932047	-0.01156395048964462	-0.003040629322268357	0.006343802763472538	-0.003207123098201519	-0.009565817912829299
42	-0.02181079111857724	-0.002874999999999998	-0.06875700349606	-0.06341436462985492	-0.01543571428571358	-0.03541565579233604	0.002360000000000028	-0.002999999999999936	-0.00156727272727283	0.0008333333333333167
43	-0.04405366239380046	-0.001954614912774749	-0.01535999154298155	-0.01724124052505669	0.0140990808451483	-0.00574144091847612	-0.02057549700804325	-0.01198359790464405	-0.02817407212069249	-0.01351863667690774
44	-0.01350174541683723	-0.002700762243613656	-0.07702718310900841	-0.02616267036271646	-0.005486417289729789	-0.01075606130164181	0.0003332870370334702	0.0004585301215429614	0.002357614047686302	0.00152138011486202
45	-0.01691628428437692	-0.001915283540802202	-0.01471233306600652	-0.02006718313582612	-0.006064930288156852	-0.00881078144684912	-0.002287690179806926	-0.01095608575380353	-0.005623616874135714	-0.0172524532183685
46	-0.02411690222150412	-0.001081729026435908	-0.02384251691058776	-0.02405206068546396	-0.006456367696226302	0.0129598308422725	-0.003873925612592056	-0.02162013708386994	-0.004539112276893493	-0.005793719399877831
47	-0.01931210391476054	-0.002207963055077739	-0.008441770585788154	-0.01399598845860195	-0.005998321108836593	-0.005611839991894686	0.0006665095811587145	0.0007499311997232383	0.0007080395672499251	0.0002926973819685718
48	-0.01687539794046807	0.01401617002512303	-0.00464958702476369	-0.01674563317297974	-0.004694216206445199	-0.004845401550775097	-0.004218559882113681	0.003987977039477572	-0.004414925816736004	0.01182600186719645
49	-0.01495408816503066	-0.0009166337665194836	-0.0223140257494177	-0.0265247584527921	-0.003165948897906386	-0.0139947158252655	0.0004591245065085097	-0.004748404577680172	-0.0006662474281222075	0.001286680593530093
50	-0.01599891193331306	-0.005940097461887734	-0.01762024999147205	-0.02247341635332673	-0.002047256181379798	-0.01045473860195384	-0.007602789330328213	-0.01562069958223709	-0.006506413083624061	-0.007415362500640563
51	-0.01395155339464139	-0.003040807112296236	-0.01273993503480149	-0.018869128151559	-0.007247578814501563	-0.001591886717698993	-0.001999798438259632	-0.00762264087055219	-0.01905870585233039	-0.009455719151247035
52	-0.02098639033396077	-0.003815941560413287	-0.02250767387807498	-0.02067607628520123	0.0005414991791833179	-0.01199668166515825	-0.0104705546765035	-0.01399652485973531	-0.02327013617294002	-0.006265760133987159
53	-0.01358586614230592	-0.003998330545152662	-0.0149966951501882	-0.01706999777952252	-0.007414595976116822	-0.01481507108290509	-0.03250649369316956	-0.009497539855266222	-0.0184016735594379	-0.009330873836158278
54	-0.01663901374578751	-0.003748482214966726	0.06581318971214063	0.009833357970332302	0.003531707002143747	-0.008337743316149981	0.01549455303035961	-0.01904813355626333	0.007319026459289439	-0.01695345038428701
55	-0.01738363725269069	-0.002166028318962749	-0.009747863526409788	-0.01487047982382199	-0.004051157271539574	-0.01099663534663086	0.001791337157695007	0.0008748094939172621	0.0005413574623943124	0.000208352226975076
56	-0.01588390989262468	-0.001126114248972061	-0.01300915843286489	-0.04928526397835589	-0.008914591977869707	-0.03171076590477728	-0.005498098201936583	-0.02389058746450976	0.01514482813802689	-0.0114562586445364
57	-0.01439764819250038	-0.001792185338865553	-0.01792583277312779	-0.01790975103734309	-0.004831604426002734	-0.01328482761011963	-0.003539764868602724	-0.006165802213001345	-0.001719628861229293	-0.001832123098201678
58	-0.02270487551867216	-0.00170833333333342	-0.009356210774512007	0.01153486852662589	0.0053508529276144	0.009964420211060332	-0.004748443983402472	0.001208506224068086	-0.0003329875518669124	-0.007330739972336789
59	-0.01477414707238359	0.003542358229598615	-0.02524365633132638	-0.02990637894566541	0.00252245171580795	-0.002255920664825771	4.114799446719179e-05	0.002331777316735551	0.002083160442600411	0.001249308437067842
