Experiment	DO concentration/cell count dd0	DO concentration/cell count dd1	DO concentration/cell count dd2	DO concentration/cell count dd3	DO concentration/cell count dd5	DO concentration/cell count dd7
19	75.68587839176072	52.00001979871309	31.504437097616147	23.999494685029063	41.3453652487477	29.603373541413113
20	116.54554873085175	83.76009299259182	54.62696408529744	40.09021918259723	11.158910574038492	17.432916206600414
21	102.07004219409282	77.0077607973422	58.9496823305519	44.48417654808959	36.206359931359934	30.677317940680016
22	90.97946934042697	61.40264633608467	40.013318134321274	27.752310421286026	30.763203151584946	39.9218
23	79.37001547675123	44.79609523809524	34.27763909900825	32.39003676299502	82.68151812366736	325.13046752738654
24	84.74010852713178	51.07464285714286	36.509833116198266	30.691674641148328	46.58561270924751	42.707305261583336
25	78.25017663817664	61.21428760729694	48.6081841274412	38.4498814085021	38.668856161257	23.08357415565345
26	75.14823529411765	62.046539425486785	34.07604154418969	23.54600754084625	74.40418717528027	85.96448971892094
27	66.90495360456816	54.44556083729464	32.503064056612445	22.070553064275042	11.073052128929566	13.06590066716086
28	93.36818419675562	81.65288432121287	110.53433562130178	64.01468604651161	46.4758695318128	37.07760032193759
29	92.07452793834298	84.05272485377915	64.67351920125498	59.79160173160173	49.853158070937	41.43294307912254
30	26.098143790849676	21.506450450450444	21.766613096604676	16.055267190666868	14.327574611734478	12.618915904319136
31	325.8141466024611	161.5807711368818	91.4636828505372	90.24377114069807	236.31176184295913	204.0535759947814
32	79.29802666666666	51.68095238095238	28.06062678062678	18.044577075098815	27.28591792656587	7.693884661878689
33	114.24940540540541	61.843775017253286	52.125608131791104	48.76845396641575	44.09028389154705	34.61408232118759
34	94.66438314176246	62.39425343018562	57.07109771616101	48.74289372599232	61.17858289428332	46.771374269005854
35	105.89203785488958	69.12159829308506	65.96491636798088	62.74039368039368	88.16564538859022	66.73791842475387
36	120.5782456140351	90.5361201032137	64.39999440950385	47.13815563037785	45.251890343698854	22.64528115159694
37	121.71651908396947	82.42937950937949	57.75082754629629	49.94887926887927	47.135360090731524	29.3129039381671
38	101.0321206743567	49.640912636505455	28.905313455657495	23.56111161483362	25.060261174047373	6.687803567590803
39	89.9790378006873	48.65382250461159	37.53209549071618	34.29340101522843	29.27763802462597	16.84808157258489
40	102.08454507337525	56.32901860385731	32.37536043360434	22.867455059065236	23.651609859154934	10.109271210813922
41	138.67828726287266	81.87436893203883	40.355746588693975	26.829287272727278	35.14865464691087	15.841066182362052
42	102.63091575091575	52.81967978948301	16.005038961038967	26.34522673643172	5.549291694953609	4.09231182795699
43	183.6624172466474	69.47281916062404	30.209375365539827	36.76157739518572	38.9787955465587	37.825628698224854
44	117.9985397680199	50.535146286571646	19.294836670179137	32.59303948264125	11.510544041450778	13.339248704663213
45	81.27839010077817	42.40596248422335	29.782371747062026	29.938174434087887	25.584960554270015	14.931330229933701
46	159.67207776946907	62.00844823956018	37.937480565821325	63.78068125824551	109.30014605044927	89.82816666666668
47	101.61910255502866	48.2388507556255	18.960119123590722	50.938505826667026	101.27085931979478	80.64901941778942
48	141.11476092417007	41.303364920104045	18.94377223247479	38.90357204338096	64.20001310272536	57.41720143651938
49	114.42067430025445	26.42488820716028	15.649216887308178	26.0479638933398	6.9264170046622136	6.792865922975257
50	55.06402035943196	17.29921156407717	9.944116176297204	17.295375969081263	6.5030884513117995	13.025892792653359
51	86.8497622704996	117.3372548103867	72.84150978951138	83.07774815833977	67.2222976280915	45.43017318833845
52	62.705439792275236	20.8402537287845	11.572072289156624	22.16296792339115	11.089114240737617	21.094724746206413
53	114.46866640821864	58.00168603326498	30.675657159135426	47.65909369340577	53.70665514421647	39.22943041623429
54	195.62922014508922	61.60498736039366	25.217679943240203	83.34306630149496	51.93019954152338	15.27763086431314
55	135.354205710506	57.96097364994043	26.830805239838185	33.46533355852053	25.16567285760834	19.356159763132986
56	109.4480767386091	40.64557371676702	25.45337137221752	20.31197037205211	13.706722625529338	9.837952794168693
57	94.73215671198406	33.43514263216293	30.542189708338675	37.36066676572694	5.579547918206457	9.272346050870148
58	145.80398866250408	214.7613618074899	125.96608500802796	85.13001202501201	79.00287613590582	69.92558307614173
59	124.91458026509571	59.24188256789569	45.40889310014155	43.46429357221436	21.64878765722051	24.812188630490954
